time	V(n002)
Step Information: Run=1  (Run: 1/50)
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	6.146601e-007
1.999999943436137e-009	1.224354e-006
6.399999818995639e-008	3.319340e-005
5.119999855196511e-007	2.485540e-004
1.023999971039302e-006	4.974061e-004
2.047999942078604e-006	1.004573e-003
4.095999884157209e-006	2.057057e-003
8.191999768314418e-006	4.315975e-003
1.638399953662884e-005	9.373302e-003
2.900506380537063e-005	1.833921e-002
4.312862974351772e-005	3.001829e-002
6.104408351266549e-005	4.708133e-002
8.303129722331494e-005	7.062529e-002
1.115581720058263e-004	1.041561e-001
1.496619524841814e-004	1.522251e-001
2.047703422993445e-004	2.253832e-001
2.654664322427558e-004	3.090812e-001
3.660275557313859e-004	4.521000e-001
5.671498027086463e-004	7.437137e-001
8.304823204279182e-004	1.126595e+000
1.237422381741141e-003	1.708124e+000
1.677627312963636e-003	2.302944e+000
2.372317885907444e-003	3.130296e+000
3.292274889236913e-003	4.027950e+000
3.833879666149661e-003	4.421200e+000
4.227907366514933e-003	4.614762e+000
4.533112610477136e-003	4.706770e+000
4.911893334557134e-003	4.755584e+000
5.267245316459544e-003	4.736279e+000
5.734963301630978e-003	4.600870e+000
6.492662062333969e-003	4.143974e+000
7.696532611789667e-003	3.002769e+000
8.760810803292109e-003	1.694660e+000
9.233916138272048e-003	1.032584e+000
9.523255309262620e-003	6.123929e-001
9.697230509817842e-003	3.632164e-001
9.828234100897186e-003	1.832582e-001
9.903566578407104e-003	8.819872e-002
9.950025798763574e-003	3.780657e-002
9.976484290494145e-003	1.499645e-002
9.994123898647834e-003	3.538336e-003
1.000746413577445e-002	-2.915097e-003
1.002042730086578e-002	-7.560921e-003
1.003305200186175e-002	-1.083392e-002
1.004731444597132e-002	-1.338789e-002
1.006192610834312e-002	-1.511643e-002
1.007711437293353e-002	-1.624790e-002
1.009255384862622e-002	-1.695142e-002
1.010822084854159e-002	-1.737775e-002
1.012410876719246e-002	-1.763175e-002
1.014030060347290e-002	-1.778160e-002
1.015698972437157e-002	-1.786948e-002
1.017454736250223e-002	-1.792079e-002
1.019369804071882e-002	-1.795055e-002
1.021596648751135e-002	-1.796753e-002
