time	V(n001)
0.000000000000000e+000	0.000000e+000
9.999999717180685e-010	9.424778e-007
1.999999943436137e-009	1.884956e-006
2.942857059627460e-007	2.773577e-004
5.865714119820558e-007	5.528305e-004
8.788571180013657e-007	8.283033e-004
1.171142824020676e-006	1.103776e-003
1.463428530039985e-006	1.379249e-003
1.755714236059295e-006	1.654722e-003
2.047999942078604e-006	1.930194e-003
4.095999884157209e-006	3.860388e-003
8.191999768314418e-006	7.720769e-003
1.638399953662884e-005	1.544149e-002
3.276799907325767e-005	3.088257e-002
5.310891820889401e-005	5.005166e-002
7.758872587016876e-005	7.311841e-002
1.073855653055055e-004	1.011893e-001
1.444039846525106e-004	1.360509e-001
1.915681920540366e-004	1.804398e-001
2.544595488620656e-004	2.395671e-001
3.343680487841640e-004	3.145552e-001
4.331625904277518e-004	4.069873e-001
5.903228669700423e-004	5.531824e-001
8.930651792291345e-004	8.306949e-001
1.369681438497902e-003	1.251425e+000
2.123091002375325e-003	1.855869e+000
3.071442551135904e-003	2.466014e+000
3.931654494416314e-003	2.832608e+000
4.300514729524593e-003	2.927856e+000
4.623438794423103e-003	2.979032e+000
4.938270711754987e-003	2.999436e+000
5.277053936396721e-003	2.988643e+000
5.750912345098521e-003	2.916909e+000
6.518360458197621e-003	2.665119e+000
7.736605139796325e-003	1.957927e+000
8.764121037339827e-003	1.135743e+000
9.249623225707094e-003	7.006814e-001
9.547899266962015e-003	4.246638e-001
9.725973526383944e-003	2.579450e-001
9.837103483956956e-003	1.534593e-001
9.905778262486694e-003	8.878893e-002
9.946910487655869e-003	5.003337e-002
9.975998149401658e-003	2.262100e-002
9.998646346938681e-003	1.275788e-003
1.002016776456507e-002	-1.900754e-002
1.003957480279424e-002	-3.729741e-002
1.006155044627119e-002	-5.800631e-002
1.008488169092495e-002	-7.998963e-002
1.010936569581211e-002	-1.030545e-001
1.013462596522043e-002	-1.268442e-001
1.016042347714209e-002	-1.511316e-001
1.018670816172771e-002	-1.758674e-001
1.021355169170924e-002	-2.011168e-001
1.024122593656734e-002	-2.271325e-001
1.027028941490672e-002	-2.544357e-001
1.030184926927348e-002	-2.840601e-001
1.033822297842740e-002	-3.181682e-001
1.038564221115246e-002	-3.625707e-001
1.046982375680264e-002	-4.411924e-001
1.057238935749753e-002	-5.365616e-001
1.066779850718450e-002	-6.247784e-001
1.081113082488311e-002	-7.562261e-001
1.103123938011824e-002	-9.550073e-001
1.136027966401506e-002	-1.243367e+000
1.188657145439681e-002	-1.675768e+000
1.268820916821684e-002	-2.242969e+000
1.332548327525089e-002	-2.594369e+000
1.402710554596470e-002	-2.860960e+000
1.437176274165368e-002	-2.941759e+000
1.471013628132828e-002	-2.987570e+000
1.513070745939328e-002	-2.997471e+000
1.551281030051483e-002	-2.961152e+000
1.613362652874083e-002	-2.811750e+000
1.713094328661584e-002	-2.352479e+000
1.867206161628522e-002	-1.215563e+000
1.920611271286254e-002	-7.404882e-001
1.944371672169399e-002	-5.216200e-001
1.959750215585347e-002	-3.783352e-001
1.964807936346144e-002	-3.310021e-001
1.972178691932536e-002	-2.618759e-001
1.976221664350584e-002	-2.238972e-001
1.979526522105979e-002	-1.928250e-001
1.982814726286072e-002	-1.618887e-001
1.986076708455640e-002	-1.311821e-001
1.990141230838325e-002	-9.290186e-002
1.993767402853990e-002	-5.873709e-002
1.996955163562189e-002	-2.869647e-002
2.000513605652685e-002	4.840617e-003
2.003579732906750e-002	3.373748e-002
2.006701421906938e-002	6.315475e-002
2.010009065026257e-002	9.431767e-002
2.014426232397569e-002	1.359175e-001
2.021851431051986e-002	2.057832e-001
2.029799904476241e-002	2.804474e-001
2.037723272854855e-002	3.547018e-001
2.071382924938308e-002	6.671433e-001
2.114586114904677e-002	1.056775e+000
2.160798129161298e-002	1.451848e+000
2.251272313272291e-002	2.129782e+000
2.340547826423787e-002	2.631403e+000
2.409935810019900e-002	2.880712e+000
2.442591784908818e-002	2.951341e+000
2.477557337590223e-002	2.992547e+000
2.521646798241973e-002	2.993066e+000
2.565237401557887e-002	2.937214e+000
2.635940913929250e-002	2.730549e+000
2.748782241131587e-002	2.129420e+000
2.862656983565649e-002	1.254635e+000
2.932319821064911e-002	6.330753e-001
2.969574173520434e-002	2.863202e-001
2.973344064272926e-002	2.509328e-001
2.980883845777910e-002	1.800572e-001
2.986808214647904e-002	1.242941e-001
2.991598106545422e-002	7.917678e-002
2.994884319887994e-002	4.821207e-002
2.997494886716930e-002	2.360989e-002
2.999676861246491e-002	3.045511e-003
3.001755222897403e-002	-1.654250e-002
3.003675230318979e-002	-3.463746e-002
3.005820261361630e-002	-5.485161e-002
3.008136967614086e-002	-7.668076e-002
3.010567130877652e-002	-9.957457e-002
3.013083914459180e-002	-1.232783e-001
3.015655914874685e-002	-1.474940e-001
3.018277052310814e-002	-1.721625e-001
3.020951887058653e-002	-1.973243e-001
3.023704305739721e-002	-2.232014e-001
